listing_id,source_portal,listing_url,short_description,long_description,ingested_at
1,sreality.cz,https://sreality.cz/listing/1,"Beautiful 2+1 apartment in Prague 6","Spacious and bright apartment in a quiet area of Prague 6. The apartment features a modern kitchen, renovated bathroom, and large balcony with garden views.",2024-03-15 10:30:00
2,bezrealitky.cz,https://bezrealitky.cz/listing/2,"Modern studio in city center","Newly renovated studio apartment in the heart of Prague 1. Perfect for young professionals or as an investment property. Fully furnished with high-end appliances.",2024-03-15 11:45:00
3,idnes.cz,https://reality.idnes.cz/listing/3,"Luxury 3+kk with Terrace","Stunning apartment with panoramic views of Prague Castle. Features high ceilings, original hardwood floors, and a newly installed designer kitchen. Private parking included.",2024-03-15 13:20:00
4,sreality.cz,https://sreality.cz/listing/4,"Cozy 1+1 in Vinohrady","Charming apartment in a historic building. Recently renovated with preserved period features. Excellent location near Náměstí Míru.",2024-03-15 14:15:00
5,bezrealitky.cz,https://bezrealitky.cz/listing/5,"4+1 Family Apartment","Spacious family apartment with separate kitchen, large living room, and three bedrooms. Building has elevator and storage unit included.",2024-03-15 15:30:00
6,idnes.cz,https://reality.idnes.cz/listing/6,"Studio with Garden Access","Ground floor studio apartment with direct access to communal garden. Perfect for plant lovers and those seeking outdoor space.",2024-03-15 16:45:00
7,sreality.cz,https://sreality.cz/listing/7,"2+kk Near Metro","Modern apartment just 2 minutes from metro station. Open-plan living area, fitted kitchen, and bathroom with walk-in shower.",2024-03-16 09:00:00
8,bezrealitky.cz,https://bezrealitky.cz/listing/8,"Penthouse with Views","Top floor apartment with wraparound terrace. Floor-to-ceiling windows, luxury finishes, and smart home features throughout.",2024-03-16 10:15:00
9,idnes.cz,https://reality.idnes.cz/listing/9,"3+1 with Parking","Family-friendly apartment in quiet residential area. Includes underground parking spot and storage room.",2024-03-16 11:30:00
10,sreality.cz,https://sreality.cz/listing/10,"Investment Studio","Compact studio apartment currently rented with stable tenant. Ideal investment opportunity in growing neighborhood.",2024-03-16 12:45:00
11,bezrealitky.cz,https://bezrealitky.cz/listing/11,"Loft Apartment","Industrial-style loft with high ceilings and exposed brick walls. Custom-built mezzanine sleeping area.",2024-03-16 14:00:00
12,idnes.cz,https://reality.idnes.cz/listing/12,"4+kk Duplex","Two-level apartment with spiral staircase. Upper floor features three bedrooms and bathroom, lower floor has living space and kitchen.",2024-03-16 15:15:00
13,sreality.cz,https://sreality.cz/listing/13,"1+1 Student Special","Perfect first apartment or student accommodation. Close to universities and public transport.",2024-03-16 16:30:00
14,bezrealitky.cz,https://bezrealitky.cz/listing/14,"2+1 with Balcony","Bright apartment with south-facing balcony. Recently updated bathroom and kitchen appliances.",2024-03-16 17:45:00
15,idnes.cz,https://reality.idnes.cz/listing/15,"3+kk Corner Unit","Corner apartment with dual aspect windows. Plenty of natural light and cross ventilation.",2024-03-17 09:00:00
16,sreality.cz,https://sreality.cz/listing/16,"Studio in Historic Building","Efficiently designed studio in renovated historic building. Original features with modern amenities.",2024-03-17 10:15:00
17,bezrealitky.cz,https://bezrealitky.cz/listing/17,"5+1 Family Home","Large apartment suitable for extended family. Two bathrooms, separate kitchen, and multiple storage spaces.",2024-03-17 11:30:00
18,idnes.cz,https://reality.idnes.cz/listing/18,"2+kk with Study","Modern apartment with bonus room perfect for home office. Built-in storage throughout.",2024-03-17 12:45:00
19,sreality.cz,https://sreality.cz/listing/19,"1+1 City Living","Central location with excellent amenities. Modern fixtures and fittings throughout.",2024-03-17 14:00:00
20,bezrealitky.cz,https://bezrealitky.cz/listing/20,"3+1 Riverside","Spacious apartment with river views. Three bedrooms, large living room, and modern kitchen.",2024-03-17 15:15:00
21,idnes.cz,https://reality.idnes.cz/listing/21,"4+kk Premium","Luxury apartment in new development. High-end finishes and smart home technology.",2024-03-17 16:30:00
22,sreality.cz,https://sreality.cz/listing/22,"2+1 Pet Friendly","Ground floor apartment with small garden. Perfect for pet owners.",2024-03-17 17:45:00
23,bezrealitky.cz,https://bezrealitky.cz/listing/23,"Studio Plus Storage","Compact living space with large separate storage room. Ideal for minimalist lifestyle.",2024-03-18 09:00:00
24,idnes.cz,https://reality.idnes.cz/listing/24,"3+kk with Garage","Modern apartment complex with private garage space. Security system and reception.",2024-03-18 10:15:00
25,sreality.cz,https://sreality.cz/listing/25,"1+1 First Time Buyer","Affordable starter apartment in good condition. Ready to move in.",2024-03-18 11:30:00 