click_event_id,email_event_id,click_timestamp,url_clicked
1,2,2024-02-01 11:35:00,https://example.com/listing/1
2,5,2024-02-01 15:20:00,https://example.com/listing/2
3,8,2024-02-02 09:05:00,https://example.com/listing/3
4,10,2024-02-02 11:35:00,https://example.com/listing/4
5,13,2024-02-02 15:20:00,https://example.com/listing/5
6,15,2024-02-02 17:50:00,https://example.com/listing/6
7,18,2024-02-03 11:35:00,https://example.com/listing/7
8,20,2024-02-03 14:05:00,https://example.com/listing/8
9,23,2024-02-03 17:50:00,https://example.com/listing/9
10,25,2024-02-04 10:20:00,https://example.com/listing/10
11,2,2024-02-01 11:40:00,https://example.com/contact
12,5,2024-02-01 15:25:00,https://example.com/about
13,8,2024-02-02 09:10:00,https://example.com/pricing
14,10,2024-02-02 11:40:00,https://example.com/services
15,13,2024-02-02 15:25:00,https://example.com/blog
16,15,2024-02-02 17:55:00,https://example.com/faq
17,18,2024-02-03 11:40:00,https://example.com/terms
18,20,2024-02-03 14:10:00,https://example.com/privacy
19,23,2024-02-03 17:55:00,https://example.com/support
20,25,2024-02-04 10:25:00,https://example.com/contact
21,2,2024-02-01 11:45:00,https://example.com/newsletter
22,5,2024-02-01 15:30:00,https://example.com/subscribe
23,8,2024-02-02 09:15:00,https://example.com/download
24,10,2024-02-02 11:45:00,https://example.com/register
25,13,2024-02-02 15:30:00,https://example.com/login 